,S288c_R64-1-1.fasta,saccharomyces_arboricola.fasta,saccharomyces_eubayanus.fasta,saccharomyces_kudriavzevii.fasta,saccharomyces_mikatae.fasta,saccharomyces_paradoxus.fasta,saccharomyces_uvarum.fasta
YCL033C,1,1,1,1,1,0,1
YCL034W,1,1,1,1,1,0,1
YCL035C,1,1,1,1,1,0,1
YCL036W,1,1,1,1,1,0,1
YCL037C,1,1,1,1,1,1,1
YCL038C,1,1,1,1,1,1,1
YCL039W,1,1,1,1,1,1,1
YCL041C,1,0,0,0,0,0,0
YCL042W,1,0,0,0,0,0,0
YCL043C,1,1,0,1,1,1,1
YCL044C,1,1,0,0,1,1,0
YCL045C,1,1,0,0,1,1,0
YCL046W,1,0,0,0,0,0,0
YCL047C,1,1,0,0,0,1,1
YCL048W,1,1,1,1,1,1,1
YCL048W-A,1,0,0,1,1,1,0
YCL049C,1,0,0,1,0,1,0
YCL050C,1,1,1,1,1,1,1
YCL051W,1,1,1,1,1,1,1
YCL052C,1,1,1,1,1,1,1
YCL054W,1,1,1,1,1,1,1
YCL055W,1,1,1,1,1,1,1
YCL056C,1,1,1,1,1,1,1
YCL057C-A,1,1,1,1,1,1,1
YCL057W,1,1,1,1,1,1,1
YCL058C,1,0,0,0,0,0,0
YCL058W-A,1,1,1,1,1,1,1
YCL059C,1,1,1,1,1,1,1
YCL061C,1,0,0,0,1,1,0
YCL063W,1,1,1,1,1,1,1
YCL064C,1,1,1,1,1,1,1
YCL067C,3,0,3,0,1,4,3
YCL068C,1,0,1,0,0,1,1
YCL069W,2,1,0,0,1,2,0
YCL073C,2,1,0,0,0,1,0
YCL074W,1,0,0,0,0,0,0
YCL075W,1,0,0,0,0,0,0
YCL076W,1,0,0,0,0,0,0
YCR001W,1,0,0,0,0,0,0
YCR002C,1,1,1,1,1,1,1
YCR003W,1,1,1,1,1,1,1
YCR004C,1,1,1,1,1,1,1
YCR005C,2,2,2,2,2,2,2
YCR006C,1,0,0,0,0,0,0
YCR007C,1,0,0,0,0,1,0
YCR008W,1,1,1,1,1,1,1
YCR009C,1,1,1,1,1,1,1
YCR011C,1,1,1,1,1,1,1
YCR012W,1,1,1,1,1,1,1
YCR013C,1,0,0,0,0,0,0
YCR014C,1,1,1,1,1,1,1
YCR015C,1,0,0,0,0,1,0
YCR016W,1,1,1,1,1,1,1
YCR017C,1,1,1,1,1,1,1
YCR018C,1,0,0,0,0,1,0
YCR018C-A,4,0,0,0,0,0,0
YCR019W,1,1,1,1,1,1,1
YCR020C,1,1,1,1,1,1,1
YCR020C-A,1,0,1,1,1,0,1
YCR020W-B,1,1,1,1,1,1,1
YCR021C,1,1,1,1,1,1,1
YCR022C,1,0,0,0,0,0,0
YCR023C,1,1,1,1,1,1,1
YCR024C,1,1,1,1,0,1,1
YCR024C-A,2,0,0,0,0,0,0
YCR024C-B,1,0,0,0,0,0,0
YCR025C,1,0,0,1,0,0,0
YCR026C,1,1,1,1,1,1,1
YCR027C,1,1,1,1,1,1,1
YCR028C,1,1,1,1,1,1,1
YCR028C-A,1,1,1,1,1,0,1
YCR030C,1,1,1,1,1,1,1
YCR031C,2,2,2,2,2,2,2
YCR032W,1,1,0,1,1,1,0
YCR033W,1,1,1,1,1,1,1
YCR034W,1,1,1,1,1,1,1
YCR035C,1,1,1,1,1,1,1
YCR036W,1,1,1,1,1,1,1
YCR037C,1,1,1,1,1,1,1
YCR038C,1,0,1,1,1,1,1
YCR038W-A,1,0,0,0,0,0,0
YGL198W,1,0,1,1,0,1,1
YGL199C,1,0,0,0,0,1,0
YGL200C,1,1,1,1,1,1,1
YGL201C,1,1,1,1,1,1,1
YGL202W,1,1,1,1,1,1,1
YGL203C,1,1,1,1,1,1,1
YGL204C,1,0,0,0,0,0,0
YGL205W,1,1,1,1,1,1,1
YGL206C,1,1,1,1,1,1,1
YGL207W,1,1,1,1,1,1,1
YGL208W,1,0,1,0,0,0,1
YGL209W,1,0,0,1,1,0,1
YGL210W,2,2,2,1,2,2,1
YGL211W,1,1,1,1,1,1,1
YGL212W,1,1,1,1,1,0,1
YGL213C,1,1,1,1,1,1,1
YGL214W,1,0,0,0,0,0,0
YGL215W,1,1,1,1,1,1,1
YGL216W,1,1,1,1,1,1,1
genemark-NC_026176.1-processed-gene-1.103-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.47-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.48-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.18-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026176.1-processed-gene-1.217-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.58-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.59-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.61-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026176.1-processed-gene-1.196-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.29-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026176.1-processed-gene-1.32-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026177.1-processed-gene-0.67-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-0.0-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-0.85-mRNA-1_1,0,1,0,0,0,0,0
maker-NC_026177.1-augustus-gene-0.122-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-0.38-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-1.84-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-2.86-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-2.87-mRNA-1_1,0,1,1,1,0,0,1
snap_masked-NC_026177.1-processed-gene-2.91-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-2.51-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-2.76-mRNA-1_1,0,1,0,1,0,0,0
snap_masked-NC_026177.1-processed-gene-2.122-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-2.123-mRNA-1_1,0,1,0,0,0,0,0
