genome_id,strain,source,original_ecological_description,geographic_origin,Ploidy,type,sub_type,lg_classify,assemble_level,genomeSize,contigNums,N50,gene_numb,remove,nature_clade,growth_type
BFC_3.re,EXF-5295,1011_nature,Fermentation,Slovenia,2,Fermentation,Fermentation,Fermentation,contig,11830106.0,1534.0,203532.0,6380.0,False,1. Wine/European ,medium
AGL_2.re,CBS4458,1011_nature,Wine,France,1,Wine,Wine,Wine,contig,12043831.0,4846.0,141324.0,6280.0,False,1. Wine/European ,slow
ABE_5.re,YJM434_1b,1011_nature,"Human, clinical",0,1,Human,Human,"Human, clinical",contig,12024093.0,4239.0,165966.0,6353.0,False,1. Wine/European ,fast
YAM.re,YJM453,1011_nature,"Human, clinical",0,2,Unknow,0,,contig,11826830.0,1674.0,122940.0,6385.0,False,1. Wine/European ,medium
BKI_2.re,DBVPG1554,1011_nature,Wine,Dalmatia ,2,Wine,Wine,Wine,contig,11761442.0,1477.0,221563.0,6370.0,False,1. Wine/European ,medium
ABR_6.re,DBVPG1794_1b,1011_nature,Soil,Finland,1,Wild,Soil,Soil,contig,11789540.0,1445.0,175163.0,6370.0,False,1. Wine/European ,slow
ABQ_6.re,DBVPG1788_1b,1011_nature,Soil,Finland,1,Wild,Soil,Soil,contig,11678037.0,1173.0,193070.0,6362.0,False,1. Wine/European ,medium
BNV_2.re,DBVPG1790,1011_nature,Soil,"Turku, Finland",2,Wild,Soil,Soil,contig,11779269.0,1594.0,231820.0,6325.0,False,1. Wine/European ,slow
BPB_4.re,DBVPG1795,1011_nature,Wine,"Illasi, Verona, Italy",2,Wine,Wine,Wine,contig,11850715.0,2204.0,217498.0,6312.0,False,1. Wine/European ,medium
BPT_5.re,DBVPG1960,1011_nature,Wine,"Recioto, Verona, Italy",2,Wine,Wine,Wine,contig,12408054.0,3233.0,226246.0,6540.0,False,1. Wine/European ,medium
BQM_4.re,DBVPG4162,1011_nature,Wine,"Reggio Emilia, Italy",2,Wine,Wine,Wine,contig,12160799.0,2501.0,144436.0,6437.0,False,1. Wine/European ,medium
BFK_2.re,EXF-6761,1011_nature,Tree,Slovenia,2,Wild,Wild,Wild,contig,11898481.0,2318.0,179342.0,6336.0,False,1. Wine/European ,fast
BQS_4.re,DBVPG4410,1011_nature,Wine,Italy ,2,Wine,Wine,Wine,contig,12019523.0,2456.0,222660.0,6394.0,False,1. Wine/European ,medium
BQE_4.re,DBVPG2166,1011_nature,Wine,"production zone of Sagrantino wine, Montefalco, Foligno, Italy",2,Wine,Wine,Wine,contig,12247397.0,3125.0,162602.0,6438.0,False,1. Wine/European ,medium
AIN_1.re,MC5,1011_nature,Wine,"Ascoli Piceno, Italy",2,Wine,Wine,Wine,contig,11857471.0,2121.0,143306.0,6330.0,False,1. Wine/European ,medium
BQR_4.re,DBVPG4381,1011_nature,Water,Italy ,2,Wild,Wild,Water,contig,11924441.0,2690.0,151883.0,6364.0,False,1. Wine/European ,medium
BLT_2.re,DBVPG1984,1011_nature,Wine,Slovenia,2,Wine,Wine,Wine,contig,12349166.0,2959.0,263650.0,6466.0,False,1. Wine/European ,
AIF_1.re,CBS457,1011_nature,Wine,Italy,2,Wine,Wine,Wine,contig,12402848.0,4032.0,124750.0,6485.0,False,1. Wine/European ,fast
AQR_4.re,CBS1190,1011_nature,Wine,Germany,2,Wine,Wine,Wine,contig,12377272.0,3556.0,147889.0,6499.0,False,1. Wine/European ,medium
BPF_4.re,DBVPG1832,1011_nature,Fruit,0,2,Wild,Wild,Wild,contig,12210788.0,4221.0,155636.0,6395.0,False,1. Wine/European ,medium
BLR_3.re,DBVPG1973,1011_nature,Wine,Greece,2,Wine,Wine,Wine,contig,12249748.0,2779.0,176415.0,6480.0,False,1. Wine/European ,fast
BNL_4.re,DBVPG1708,1011_nature,Soil,"Ultura, Sweden",2,Wild,Soil,Soil,contig,12097968.0,2133.0,177743.0,6457.0,False,1. Wine/European ,slow
BPK_4.re,DBVPG1861,1011_nature,Water,"Rajamaki River, Finland",2,Wild,Wild,Water,contig,12156343.0,2418.0,180202.0,6435.0,False,1. Wine/European ,medium
BKQ_2.re,DBVPG1584,1011_nature,Unknown,"Porec, Istria",2,Unknow,0,Unknown,contig,11979345.0,2116.0,190542.0,6367.0,False,1. Wine/European ,medium
BPG_4.re,DBVPG1841,1011_nature,Unknown,Ethiopia,2,Unknow,0,Unknown,contig,11723577.0,1197.0,142380.0,6375.0,False,1. Wine/European ,medium
BPH_4.re,DBVPG1843,1011_nature,Unknown,Ethiopia,2,Unknow,0,Unknown,contig,11803220.0,1978.0,236514.0,6332.0,False,1. Wine/European ,medium
