#GenomeName,C(%),S(%),D(%),F(%),M(%),n
GCA_003277115.1_ASM327711v1_genomic.fasta.out.txt,99.4,97.2,2.2,0.1,0.5,2137
GCA_003275345.1_ASM327534v1_genomic.fasta.out.txt,99.4,97.4,2.0,0.1,0.5,2137
AVK_6.re.fasta.out.txt,99.5,97.2,2.3,0.1,0.4,2137
CBE_5.re.fasta.out.txt,99.5,96.3,3.2,0.1,0.4,2137
AMS_5.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
GCA_001740295.1_ASM174029v1_genomic.fasta.out.txt,99.1,97.1,2.0,0.2,0.7,2137
GCA_017864785.1_ASM1786478v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
CLG_4.re.fasta.out.txt,99.2,83.2,16.0,0.3,0.5,2137
BBK_6.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
ANT_2.re.fasta.out.txt,99.5,96.3,3.2,0.1,0.4,2137
GCA_003273405.1_ASM327340v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_017868915.1_ASM1786891v1_genomic.fasta.out.txt,98.9,97.0,1.9,0.2,0.9,2137
GCA_001671435.1_ASM167143v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
CLQ_4.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
AFM_5.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
ADC_2.re.fasta.out.txt,99.7,97.4,2.3,0.1,0.2,2137
GCA_017866955.1_ASM1786695v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
CGQ_4.re.fasta.out.txt,99.5,96.0,3.5,0.1,0.4,2137
CFH.re.fasta.out.txt,93.2,84.4,8.8,2.2,4.6,2137
CMQ_8.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
GCA_000977085.2_Sc_YJM1311_v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_003273025.1_ASM327302v1_genomic.fasta.out.txt,99.6,97.7,1.9,0.1,0.3,2137
GCA_000977595.2_Sc_YJM1400_v1_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
AFP_1.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
GCA_001739825.1_ASM173982v1_genomic.fasta.out.txt,99.0,97.1,1.9,0.2,0.8,2137
GCA_001738015.1_ASM173801v1_genomic.fasta.out.txt,99.2,97.2,2.0,0.2,0.6,2137
GCA_003273385.1_ASM327338v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
GCA_001741375.1_ASM174137v1_genomic.fasta.out.txt,99.2,97.1,2.1,0.2,0.6,2137
AGP_2.re.fasta.out.txt,99.6,97.2,2.4,0.1,0.3,2137
GCA_003276735.1_ASM327673v1_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_017866305.1_ASM1786630v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
BEV_3.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_003277735.1_ASM327773v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_900178065.1_L711_genomic.fasta.out.txt,99.1,97.1,2.0,0.1,0.8,2137
BFA_3.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
CBI_2.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BBR_3.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BEP_4.re.fasta.out.txt,99.7,96.3,3.4,0.1,0.2,2137
